medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
white blood cell count,White blood cell count,A test that counts the infection-fighting cells in your blood.,9,8.33,10,Otitis Media - Discharge Summary | Leiomyosarcoma | ESRD - Discharge Summary,"White blood cell count was 8.6 with 61% neutrophils, 21% lymphocytes, 17% monocytes, suggestive of a viral infection.",,,
diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,9,8.33,9,Renal Disease - Discharge Summary | Discharge Summary - Urology | ESRD - Discharge Summary,"Hypertension.,CONDITION ON DISCHARGE: , Stable.,PROCEDURE PERFORMED: , None.,HOSPITAL COURSE: , The patient is a 44-year-old African-American male who was diagnosed with end-stage renal disease requiring hemodialysis three times per week approximately four to five months ago.",,,
drainage,drainage,When any fluid is leaking out of a body part.,9,8.33,9,Pancreatic Mass - Discharge Summary | Mullerian Adenosarcoma | Knee Arthroplasty - Discharge Summary,A 10-french x 9 cm stent was placed with good drainage.,,,
hip,hip,The hip is where your leg connects to your body.,8,7.41,34,Prematurity - Discharge Summary | Hemiarthroplasty - Discharge Summary | Hip Surgery - Discharge Summar,"Extremities without evidence of hip defects.,ABDOMEN: Soft, bowel sounds present.",,,
anxiety,anxiety,"Anxiety is a feeling of fear, worry, and uneasiness.",8,7.41,17,Knee Surgery - Discharge Summary | Hip Surgery - Discharge Summar | Falls - Discharge Summary,"She reports having some right knee pain, which is most intense at a ""certain position."" The patient is unable to elaborate on which ""certain position"" causes her the most discomfort.,ALLERGIES:, NKDA.,PAST MEDICAL HISTORY: , Hypertension, hypothyroidism, degenerative joint disease, GERD, anxiety disorder, Morton neuroma of her feet bilaterally, and distant history of migraine headaches some 30 years ago.,MEDICATIONS:, On transfer, Celebrex, Coumadin, Colace, Synthroid, Lovenox, Percocet, Toprol XL, niacin, and trazodone.,PHYSICAL EXAMINATION:,VITAL SIGNS: Temperature 96.5, blood pressure 127/72, pulse 70, respiratory rate 20, 95% O2 saturation on room air.,GENERAL: No acute distress at the time of the exam except as mentioned above complains of right knee pain at ""certain position."",HEENT: Normocephalic.",,,
insulin,insulin,Insulin is a medicine that helps people with diabetes control their blood sugar levels.,8,7.41,17,Pancreatic Mass - Discharge Summary | Pneumonia & COPD - Discharge Summary | Multiple Medical Problems - Discharge Summary,"The patient had been on oral hypoglycemics as an outpatient, but in hospital, he was simply managed with an insulin sliding scale.",,,
syndrome,syndrome,A syndrome is like a group of symptoms that usually happen together when someone is sick.,8,7.41,17,Pneumonia & COPD - Discharge Summary | Hypothermia - Discharge Summary | Goldenhar Syndrome - Discharge Summary,"Systemic inflammatory response syndrome.,4.",,,
cardiac,CARDIAC,Related to the heart.,8,7.41,15,Mastoiditis - Discharge Summary | Neonatal Discharge Summary - 1 | Kawasaki Disease - Discharge Summary,"There is a large posterior chains node that is nontender and the swelling in this area has decreased markedly.,NECK: Supple.,CHEST: Clear breath sounds.,CARDIAC: Normal S1, S2 without murmur.,ABDOMEN: Soft.",,,
bilirubin,bilirubin,"Bilirubin is a yellowish substance produced when red blood cells break down, which can cause yellowing of the eyes when levels are elevated.",8,7.41,14,Prematurity - Discharge Summary | Pancreatic Mass - Discharge Summary | ESRD - Discharge Summary,"The culture was negative and the antibiotics were stopped at 48 hours.,The infant was noted to have physiologic jaundice and her highest bilirubin was 7.1.",,,
diabetes mellitus,diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,8,7.41,12,Pneumonia & COPD - Discharge Summary | Multiple Medical Problems - Discharge Summary | ESRD - Discharge Summary,"Hyperglycemia secondary to poorly controlled type ii diabetes mellitus, insulin requiring.,9.",,,
myocardial,myocardial,It's a term for the heart muscle.,8,7.41,12,Renal Disease - Discharge Summary | ER Report - Chest Pain & Fever | ESRD - Discharge Summary,Cardiology also ordered a nuclear medicine myocardial perfusion stress test.,,,
blood cultures,blood cultures,Blood cultures are a test to see if there are any germs in your blood.,8,7.41,11,Pneumonia & COPD - Discharge Summary | Neonatal Discharge Summary | Hypothermia - Discharge Summary,"No bacteria identified with blood cultures or sputum culture.,7.",,,
chloride,chloride,Chloride is a substance that helps your heart and other parts of your body work properly.,8,7.41,11,Pancreatic Mass - Discharge Summary | Goldenhar Syndrome - Discharge Summary | ER Report - Chest Pain & Fever,"His sodium was 132, potassium 4.1, chloride 95, CO2 27, BUN of 8 with a creatinine of 0.3.",,,
constipation,constipation,When it's hard to go to the bathroom because the poop is dry and doesn't come out easily.,8,7.41,10,TAH - Discharge Summary | Knee Surgery - Discharge Summary | Discharge Summary - Hemodialysis,constipation and ferrous sulfate 60 mg tablets 1 tablet p.o.,,,
family history,Family history,Health information about your close relatives.,8,7.41,10,Mullerian Adenosarcoma | Hip Surgery - Discharge Summar | Discharge Summary - Urology & Nephrology,"Family history, social history, and psychosocial needs per the social worker.",,,
tenderness,tenderness,Tenderness is when an area hurts when you touch it.,8,7.41,10,TAH - Discharge Summary | Mastoiditis - Discharge Summary | Knee Surgery - Discharge Summary,"On the 4th postoperative day, the patient was complaining of pain in her back and abdomen as well as incisional wound tenderness.",,,
clinical,clinical,Related to a person's illness or medical care.,8,7.41,9,Speech Therapy - Discharge Summary - 2 | TAH - Discharge Summary | Pneumonia - Discharge Summary,"We did complete an oral mechanism examination and clinical swallow evaluation, which showed her swallowing to be within functional limits.",,,
infiltrate,infiltrate,Infiltrate means the buildup of foreign substances or excess substances and cells in a specific area.,8,7.41,9,Pneumonia & COPD - Discharge Summary | Discharge Summary - Respiratory Distress | Discharge Summary - 17,This subsequently resolved and the patient's infiltrate slowly improved over the course of his hospitalization.,,,
pathology,pathology,Signs of sickness or medical issues.,8,7.41,9,Pneumonia - Discharge Summary | Mullerian Adenosarcoma | Discharge Summary - Urology,CT scan was performed and no specific focal pathology was seen.,,,
pulses,Pulses,The heart's beat felt at different places in the body.,8,7.41,9,Prematurity - Discharge Summary | Knee Surgery - Discharge Summary | Discharge Summary - Respiratory Failure,"Nose and throat are patent without palatal defect.,NECK: Supple without clavicular fracture.,LUNGS: Clear to auscultation.,HEART: Regular rate without murmur, click or gallop present.,EXTREMITIES: Pulses are 2/4 for brachial and femoral.",,,
gravida,gravida,Gravida refers to the number of times a woman has been pregnant.,8,7.41,8,Prematurity - Discharge Summary | Neonatal Discharge Summary - 1 | Neonatal Discharge Summary,"Feeding problem.,HISTORY OF ILLNESS: ,This is a 4-pound female infant born to a 26-year-old gravida 1, now para 1-0-0-1 lady with an EDC of November 19, 2003.",,,
laboratory studies,Laboratory studies,Tests done on samples like blood or urine to help diagnose medical issues or see if treatments are effective.,8,7.41,8,Hysterectomy - Discharge Summary | ER Report - Chest Pain & Fever | Discharge Summary - Cerebral Palsy,"She recovered quite well and vitals remained stable.,Laboratory studies, H&H were followed and appeared stable on 09/05/2007 with hemoglobin of 11.2 and hematocrit of 31.8.,The patient was ready for discharge on Monday morning of 09/06/2007.,LABORATORY FINDINGS: , Please see chart for full studies during admission.,DISPOSITION: ,The patient was discharged to home in stable condition.",,,
postoperative course,Postoperative course,A person's progress after surgery.,8,7.41,8,Urology Discharge Summary | Mullerian Adenosarcoma | Knee Surgery - Discharge Summary,Postoperative course was uncomplicated.,,,
renal,Renal,Related to the kidneys.,7,6.48,36,Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary | Lap Chole - Discharge Summary,"End-stage renal disease requiring hemodialysis.,3.",,,
coumadin,Coumadin,A blood thinner medication called Coumadin or warfarin used to treat and prevent blood clots.,7,6.48,21,Knee Surgery - Discharge Summary | Knee Arthroplasty - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,"She received DVT prophylaxis with a combination of Coumadin, Lovenox, SCD boots, and TED stockings.",,,
exacerbation,exacerbation,A worsening of a problem or illness.,7,6.48,16,Pneumonia & COPD - Discharge Summary | Discharge Summary - COPD | Discharge Summary - 9,"Chronic obstructive pulmonary disease (COPD) exacerbation.,3.",,,
atrial fibrillation,Atrial fibrillation,Atrial fibrillation is when your heart beats irregularly and can make you tired or more likely to have a stroke.,7,6.48,15,Pneumonia & COPD - Discharge Summary | GI Bleed - Discharge Summary | Discharge Summary - Mesothelioma - 1,"Atrial fibrillation with episodic rapid ventricular rate, now rate control.,8.",,,
cardiology,Cardiology,Cardiology is the study of heart-related issues.,7,6.48,14,Renal Disease - Discharge Summary | Kawasaki Disease - Discharge Summary | GI Bleed - Discharge Summary,Cardiology was consulted and their recommendations were to reduce the lisinopril to 5 mg daily.,,,
laparoscopic,Laparoscopic,A surgery where a small tube with a camera is used to see inside the body.,7,6.48,14,Lap Chole - Discharge Summary | Gastric Bypass Summary | Discharge Summary - Urology,"PROCEDURE:, Laparoscopic cholecystectomy.,DISCHARGE DIAGNOSES:,1.",,,
carotid,Carotid,A big blood vessel that takes oxygen-rich blood from the heart to the head through the neck.,7,6.48,13,Falls - Discharge Summary | Discharge Summary - Peripheral vascular disease | Discharge Summary - 6,"Carotid upstrokes are 2+.,LUNGS: Clear.,HEART: Normal S1 and S2.",,,
gi,GI,"GI refers to your stomach and intestines, where digestion happens.",7,6.48,13,Kawasaki Disease - Discharge Summary | Hip Surgery - Discharge Summar | GI Bleed - Discharge Summary,for 14 days and then Prevacid also to prevent his GI from aspirin 15 mg p.o.,,,
postop,postop,After surgery.,7,6.48,13,Lap Chole - Discharge Summary | Gastric Bypass Summary | Discharge Summary - Hip Surgery,"On postop day #1, the patient started eating and also walking.",,,
stress,stress,Feeling overwhelmed physically or emotionally due to pressure.,7,6.48,13,Renal Disease - Discharge Summary | Pneumonia - Discharge Summary | ER Report - Chest Pain & Fever,Cardiology also ordered a nuclear medicine myocardial perfusion stress test.,,,
bronchitis,bronchitis,A lung condition where the tubes that help us breathe get inflamed.,7,6.48,12,ORIF - Discharge Summary | Discharge Summary - COPD | Discharge Summary - 2,"X and to Internal Medicine for management of multiple medical problems including hypothyroid, diabetes mellitus type 2, bronchitis, and congestive heart failure.,HOSPITAL COURSE: , The patient was admitted and consented for operation, and taken to the operating room for open reduction and internal fixation of right Schatzker III tibial plateau fracture and partial medial meniscectomy performed without incidence.",,,
nasal,nasal,"It's all about your nose when we talk about ""nasal.""",7,6.48,12,Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary | Discharge Summary - Urology & Nephrology,"He has also had intermittent cough, nasal congestion, and rhinorrhea and no history of rashes.",,,
drain,drain,A tube that helps remove excess fluid from a body cavity or wound.,7,6.48,11,Post Thyroidectomy - Discharge Summary | Knee Osteoarthrosis - Discharge Summary | Gastric Bypass Summary,The drain was removed.,,,
infectious,INFECTIOUS,A sickness that can be passed on between people.,7,6.48,11,Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary | Discharge Summary - 7,"The ultrasound was negative for intracranial hemorrhage.,INFECTIOUS DISEASE:, The patient had been on antibiotics during the stay at Madera.",,,
respiratory distress,respiratory distress,Having difficulty breathing.,7,6.48,11,Mastoiditis - Discharge Summary | Neonatal Discharge Summary | Discharge Summary - Respiratory Distress,"well.,DISCHARGE PHYSICAL EXAMINATION:,GENERAL: The patient is alert, in no respiratory distress.,VITAL SIGNS: His temperature is 97.6, heart rate 83, blood pressure 105/57, respiratory rate 16 on room air.,HEENT: Right ear shows no redness.",,,
arm,arm,Your arm is the part of your body between your shoulder and your hand.,7,6.48,10,Leiomyosarcoma | Neck Pain - Discharge Summary | Knee Surgery - Discharge Summary,ABC is a pleasant 66-year-old Caucasian female who first palpated a mass in the left posterior arm in spring of 2007.,,,
