medical_term,plain_language_explanation,filtering_method
amplification,"Having extra copies of a gene, which can lead to cancer.",README-based filtered glossary with task-specific patient-facing relevance filtering
ampulla,An ampulla is a bulging pouch that forms in a canal or duct.,README-based filtered glossary with task-specific patient-facing relevance filtering
amputarion,Cutting off a body part like an arm or leg with surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
amputee,Someone who has lost a body part like an arm or leg due to sickness or injury.,README-based filtered glossary with task-specific patient-facing relevance filtering
amyl nitrite,A drug that expands blood vessels.,README-based filtered glossary with task-specific patient-facing relevance filtering
amyloid,Amyloid is a type of protein that increases in certain illnesses.,README-based filtered glossary with task-specific patient-facing relevance filtering
amyloid storage disease,"When too much amyloid protein accumulates in your organs, it leads to amyloid storage disease.",README-based filtered glossary with task-specific patient-facing relevance filtering
ana,"A blood test for proteins that react with the nucleus, indicating certain immune diseases.",README-based filtered glossary with task-specific patient-facing relevance filtering
anabolic,Anabolic means helping your body build tissues and grow.,README-based filtered glossary with task-specific patient-facing relevance filtering
anabolic steroid,A steroid that helps heal body tissues and build muscle.,README-based filtered glossary with task-specific patient-facing relevance filtering
anaemia,"Anaemia is when your body doesn't have enough healthy red blood cells, which can make you feel tired or out of breath.",README-based filtered glossary with task-specific patient-facing relevance filtering
anaemic,Anaemia means not having enough healthy red blood cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
anaerobe,A type of bacteria that doesn't require oxygen to survive.,README-based filtered glossary with task-specific patient-facing relevance filtering
anaerobes,Bacteria that can live and grow without needing oxygen.,README-based filtered glossary with task-specific patient-facing relevance filtering
anaerobic,Anaerobic means not needing oxygen to survive.,README-based filtered glossary with task-specific patient-facing relevance filtering
anaesthetist,A doctor who puts people to sleep during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
anagrelide,Medication that reduces the amount of platelets in the blood to prevent blood from clotting.,README-based filtered glossary with task-specific patient-facing relevance filtering
anal,Anal refers to things related to the body part where poop exits.,README-based filtered glossary with task-specific patient-facing relevance filtering
